,Unnamed: 0.1,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Tier1_SNR,Tier1 Transit S/N,Tier2_SNR,Tier2 Transit S/N,Tier3_SNR,Tier3 Transit S/N,cumulative transit [days],N cumulative transit [days]
156,538,538,HD 191939 d,HD 191939 d,1.452415368,10.54373342,19.94776222,1879.069616,9872.923212,16229.1489,Transit,1,11,20,0,0,0,0.81,-0.04,0.04,5348.0,-100.0,100.0,0.94,-0.02,0.02,53.6089,-0.0731,0.0733,4.3,-0.1,0.1,Gaia DR2 2248126315275354496,7.215,7.597,7.18,8.97,8.77476,7.04,0,-0.15,-0.06,0.06,[Fe/H],8.7,,,G9 V,302.0256247,66.8503014,3.037633778,0.067253884,-0.067253884,0.271,0.006,-0.006,5.80036842,0.0,0.0,0.01825,0.0,0.0,1,1,0.0,38.3525,3160.84889,-0.0003,0.0003,565.2212361,31040028060.0,0.207625606,0.1,2.3,20237.04795,0.48,1,89.43,-0.04,0.04,0.0,,,0,,,,8743.5518,0.0007,-0.0007,0,8762.72805,0.0,0.1072,0.0038,-0.0038,2,2020,Ariel,2.844885719,6.409451957,0.350869397,0.226158714,8.274290954,0.056605749,2.095835049,0.040018645,1.481884828,69.6357266600347,841.2503717476737
157,174,174,LTT 9779 b,LTT 9779 b,1.0,11.04054465,21.585212,1.0,6.450322222,12.81741331,Eclipse,1,6,13,0,0,0,0.77,-0.21,0.29,5443.0,-13.0,14.0,0.95,-0.01,0.01,80.4373,-0.315,0.3174,4.35,-0.12,0.16,Gaia DR2 2307504062045842688,8.153,8.446,8.016,9.79,9.60006,7.936,0,0.27,-0.03,0.03,[Fe/H],1.9,-1.2,1.7,G7 V,358.6688767,-37.6282237,4.718980888,0.235388595,-0.235388595,0.421,0.021,-0.021,29.31967051,0.778679596,-0.810462437,0.09225,0.00245,-0.00255,0,1,19.65,0.792052,556.1111665,-9.3e-06,9.3e-06,1996.286523,2297368621.0,0.015367014,0.3,2.3,5821.400333,0.5,1,81.73208572,-0.43,0.43,0.0,,,0,90.0,,,8354.2143,0.00025,-0.00025,0,8354.610326,0.0,0.157052,0.005176,-0.005176,2,2020,Ariel,67.14580801,13.42452082,4.251276049,11.02925134,8.260003336,2.749666375,2.091919982,1.944370316,1.479115931,69.83785861604166,845.8994067358335
158,72,72,WASP-123 b,WASP-123 b,1.0,11.66506689,22.85462645,1.0,1.701581599,3.346260443,Eclipse,1,2,3,0,0,0,1.17,-0.06,0.06,5740.0,-130.0,130.0,1.28,-0.05,0.05,197.996,-2.993,3.083,4.29,-0.03,0.03,Gaia DR2 6756148659453907200,9.457,9.799,9.362001,11.03,10.8999,9.306,0,0.18,-0.08,0.08,[Fe/H],6.9,-1.4,1.4,G5,289.4792124,-32.8601244,14.7734366,0.728583748,-0.728583748,1.318,0.065,-0.065,285.7277375,11.44182264,-11.44182264,0.899,0.036,-0.036,0,1,114.2,2.9776412,201.5241925,-2.3e-06,2.3e-06,1465.719511,6385695081.0,0.042713679,0.3,2.3,11113.13515,0.53,1,85.74,-0.55,0.55,0.0,,,0,,,,6845.17082,0.00039,-0.00039,0,6846.659641,0.0,1.11,0.027,-0.027,1,2016,Ariel,111.7641255,13.34828531,6.445565824,20.38893479,8.238888324,5.067881077,2.085718046,3.583579087,1.474728755,70.22373136430555,854.774479945903
159,52,52,HAT-P-57 b,HAT-P-57 b,1.0,11.77632696,23.04567948,1.0,1.0,1.976325526,Eclipse,1,1,2,0,0,0,2.77,-1.74,1.74,6330.0,-124.0,124.0,1.85,-0.39,0.39,279.86,-3.176,3.249,4.25,-0.02,0.02,Gaia DR2 4483640815570090368,9.497,9.67,9.433,10.639,10.4253,9.274,0,-0.25,,,[Fe/H],1.0,-0.51,0.67,A8 V,274.743418,10.5971968,19.50362647,4.035233063,-4.035233063,1.74,0.36,-0.36,448.1380533,483.099178,-483.099178,1.41,1.52,-1.52,0,1,215.2,2.4653,143.5050963,-3e-06,3e-06,1792.567196,7504200341.0,0.05019532,0.3,2.3,12654.11496,0.177,1,88.26,-0.85,0.85,0.0,,,0,,,,5113.48127,0.00048,-0.00048,0,5114.71392,0.0,0.94,0.029,-0.029,1,2015,Ariel,111.8817132,12.01205261,7.129157553,28.70060432,8.225773394,7.115001604,2.080963278,5.031137072,1.47136344,70.66311035597222,864.8801967542363
160,406,406,HATS-62 b,HATS-62 b,1.434808236,25.01643211,49.0550869,22.48241823,155.6890074,299.0679858,Transit,1,25,49,1,0,1,0.9,-0.01,0.01,5416.0,-13.0,19.0,0.93,-0.01,0.02,523.067,-10.033,10.426,4.45,-0.02,0.02,Gaia DR2 6806639397331208320,12.196,12.573,12.109,14.171,13.8321,12.099,0,0.133,-0.023,0.023,[Fe/H],9.55,-1.55,0.99,,312.4493079,-24.303506,11.82547467,0.280224518,-0.280224518,1.055,0.025,-0.025,56.89128478,0.0,0.0,0.179,0.0,0.0,1,1,0.0,3.2768837,1665.743214,-3.3e-06,3.3e-06,1192.838898,6236671007.0,0.041716863,0.3,2.3,9935.599912,0.348,1,87.92,-0.35,0.35,0.0,,,1,,,,5808.05158,0.00043,-0.00043,0,5809.690022,0.0,,,,1,2018,Ariel,28.2811297,4.148057054,1.600477356,3.841609874,8.18747418,0.957620392,2.073633588,0.677149371,1.466186523,71.00809646402777,872.8148772395141
161,596,596,TRAPPIST-1 d,TRAPPIST-1 d,1.203819441,15.77503613,31.27259822,1338603.758,17373531.53,47720145.98,Transit,1,16,31,1,0,1,0.09,0.0,0.0,2566.0,-26.0,26.0,0.12,0.0,0.0,12.4298888,-0.0187066,0.0187066,5.24,-0.01,0.01,Gaia DR2 2635476908753563008,10.718,11.354,10.296,17.02,15.6451,,0,0.04,-0.08,0.08,[Fe/H],0.5,,,,346.6263919,-5.0434618,0.784628651,0.011208981,-0.011208981,0.07,0.001,-0.001,0.387750656,0.012713136,-0.012713136,0.00122,4e-05,-4e-05,0,0,0.0,4.049219,4295.065784,-2.6e-05,2.6e-05,295.6820604,3333442695.0,0.022297276,0.1,2.3,2950.329239,0.063,1,89.896,-0.077,0.077,0.00837,-0.00093,0.00093,0,-8.73,-6.17,6.17,7257.06768,0.00067,-0.00067,0,7259.092289,0.0,0.3676,0.0063,-0.0063,1,2016,Ariel,0.409509526,6.421853001,0.454659867,0.010068366,8.162113818,0.002506935,2.085089775,0.001771735,1.47432574,71.11053845149306,875.1710429512154
162,57,57,KELT-18 b,KELT-18 b,1.0,12.2715707,23.98163121,1.0,1.130020584,2.246398952,Eclipse,1,1,2,0,0,0,1.52,-0.07,0.07,6670.0,-120.0,120.0,1.91,-0.04,0.04,321.376,-2.47,2.509,4.06,-0.01,0.01,Gaia DR2 1612165353793791488,9.272,9.454001,9.21,10.16,10.1036,9.135,0,0.09,-0.13,0.13,[Fe/H],1.9,-0.2,0.2,F4 V,216.5238248,59.4442735,17.59809975,0.470777191,-0.403523306,1.57,0.042,-0.036,375.0375198,34.96112473,-34.96112473,1.18,0.11,-0.11,0,1,127.0,2.8717518,156.9960603,-2.8e-06,2.8e-06,2015.929666,6801589916.0,0.045495585,0.3,2.3,16779.04027,0.102,1,88.86,-1.2,0.79,0.0,,,0,,,,7542.52504,0.00039,-0.00039,0,7543.960916,0.0,0.716,0.015,-0.015,1,2017,Ariel,106.6764968,12.34750788,5.751378402,28.84278913,8.153096803,7.145538214,2.061883821,5.052750055,1.457871494,71.69314401642362,889.1535765095488
163,227,227,WASP-113 b,WASP-113 b,1.0,13.9963161,27.46013763,1.463226327,11.31480654,22.17479766,Eclipse,1,11,22,0,0,0,1.32,-0.07,0.07,5890.0,-140.0,140.0,1.61,-0.12,0.09,435.156,-4.346,4.433,4.2,-0.1,0.1,Gaia DR2 1587399232335653760,10.33,10.636,10.311,11.761,11.6041,10.259,0,0.1,-0.09,0.09,[Fe/H],6.2,-3.8,1.6,G1,224.8728589,46.9600996,15.79345385,1.07606215,-1.569257302,1.409,0.096,-0.14,150.9684931,17.16273396,-16.52707714,0.475,0.054,-0.052,0,1,48.74,4.54216875,772.5165625,-4.2e-06,4.2e-06,1436.15257,8809098516.0,0.058923736,0.3,2.3,15529.90887,0.486,1,86.46,-0.64,1.2,0.0,,,0,0.0,,,7197.097459,4e-05,-4e-05,0,7199.368543,0.0,0.809,0.028,-0.028,1,2016,Ariel,48.85259935,6.171180269,2.506094127,9.290527301,8.118011054,2.308014635,2.054727572,1.632030828,1.452815691,72.23237696329862,902.0951672345487
164,532,532,TOI-540 b,TOI-540 b,1.0,10.73725549,21.44203219,819.7574033,7095.910401,14172.58284,Transit,1,11,21,0,0,0,0.16,-0.01,0.01,3216.0,-83.0,83.0,0.19,-0.01,0.01,14.0022,-0.0089,0.0088,4.44,,,Gaia DR2 4785886941312921344,9.17,9.755,8.9,14.823,12.8938,8.693,0,,,,,1.1,-1.0,0.9,M V,76.3096949,-47.9375391,0.907927439,0.056044904,-0.056044904,0.081,0.005,-0.005,0.673796222,0.0,0.0,0.00212,0.0,0.0,1,0,0.0,1.2391491,3020.462162,-1.7e-06,1.7e-06,628.6952743,1833807247.0,0.012266269,0.1,2.3,1725.872725,0.772,1,86.8,-0.28,0.28,0.0,,,0,,,,8411.82601,0.00046,-0.00046,0,8412.445585,0.0,0.206265,0.025759,-0.025759,2,2020,Ariel,7.406565899,8.334171493,0.912924904,0.242009565,8.06317486,0.060919549,2.053564438,0.043071936,1.452022829,72.29230309958334,903.533394505382
165,303,303,WASP-83 b,WASP-83 b,1.0,14.13123838,27.72894681,3.951385981,28.27096064,55.14427484,Transit,1,14,28,0,0,0,1.11,-0.09,0.09,5510.0,-110.0,110.0,1.05,-0.04,0.06,271.103,-3.618,3.716,4.44,-0.04,0.02,Gaia DR2 3515865416826633984,10.471,10.804,10.393,12.312,12.0084,10.346,0,0.29,-0.12,0.12,[Fe/H],5.0,,,G8,190.1519558,-19.2843527,11.65733996,0.896718458,-0.560449037,1.04,0.08,-0.05,96.93766401,11.75965104,-11.12399423,0.305,0.037,-0.035,0,1,34.2,4.971252,1099.285577,-1.5e-05,1.5e-05,1083.659683,8830449785.0,0.059066554,0.3,2.3,12198.34235,0.23,1,88.9,-0.7,0.7,0.0,,,0,,,,5928.8853,0.0004,-0.0004,0,5931.370926,0.0,1.04,0.04,-0.04,1,2015,Ariel,38.58085287,7.273271012,2.24544649,5.314794351,8.009273343,1.325756307,2.028224394,0.937461535,1.434078773,72.71585665340278,913.6986797970487
166,568,568,TRAPPIST-1 b,TRAPPIST-1 b,1.246627096,16.38161266,32.47849251,6265.788387,73100.83709,127768.9125,Transit,1,16,32,1,0,1,0.09,0.0,0.0,2566.0,-26.0,26.0,0.12,0.0,0.0,12.4298888,-0.0187066,0.0187066,5.24,-0.01,0.01,Gaia DR2 2635476908753563008,10.718,11.354,10.296,17.02,15.6451,,0,0.04,-0.08,0.08,[Fe/H],0.5,,,,346.6263919,-5.0434618,1.120898073,0.011208981,-0.011208981,0.1,0.001,-0.001,1.373018716,0.069922249,-0.069922249,0.00432,0.00022,-0.00022,0,0,0.0,1.510826,3704.965194,-6e-06,6e-06,410.7181684,1727647422.0,0.01155617,0.1,2.3,2171.652342,0.095,1,89.728,-0.165,0.165,0.00622,-0.00304,0.00304,0,336.86,-34.24,34.24,7257.55044,0.00015,-0.00015,0,7258.305853,2161.061757,0.7378,0.0064,-0.0064,1,2016,Ariel,4.419649981,11.14244134,1.459049541,0.125446788,8.008726407,0.031477314,2.045905498,0.022250507,1.446619314,72.79126124861112,915.5083900820488
167,464,464,HD 183579 b,HD 183579 b,1.597886158,12.61601215,24.15148897,180.8544373,911.0428235,1716.905636,Transit,2,13,24,0,0,0,1.03,-0.03,0.03,5788.0,-44.0,44.0,0.98,-0.03,0.04,57.2651,-0.1864,0.1875,4.5,-0.03,0.03,Gaia DR2 6641996571978861440,7.231,7.518,7.15,8.67,8.51549,7.09,0,-0.023,-0.05,0.05,[Fe/H],2.6,-1.2,1.4,G2 V,293.2866147,-54.5327284,3.553246892,0.14571675,-0.123298788,0.317,0.013,-0.011,11.20027305,5.399904628,-5.399904628,0.03524,0.01699,-0.01699,0,1,2.7,17.471278,2127.714523,-6e-05,5.8e-05,732.4020567,19909491629.0,0.133173857,0.3,2.3,16163.33879,0.32,1,89.33,-0.4,0.41,0.0,,,1,90.0,,,8661.06315,0.00078,-0.00077,0,8669.798789,0.0,0.125855,0.005218,-0.005218,2,2021,Ariel,7.037657565,9.04511275,0.57998845,0.806595385,8.001800873,0.201814869,2.025572779,0.142696698,1.432202117,73.35248828993056,928.9778390737155
