,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,cumulative days
11,19,KELT-20 b,KELT-20 b,1.0,4.575606261,8.934502053,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.76,-0.19,0.14,8720.0,-260.0,250.0,1.56,-0.06,0.06,136.426,-0.807,0.816,4.29,-0.02,0.02,Gaia DR2 2033123654092592384,7.446,7.424,7.415,7.59,7.57492,7.363,0,-0.29,-0.36,0.22,[Fe/H],0.6,,,A2 V,294.6614126,31.2192001,19.51483545,0.77341967,-0.829464574,1.741,0.069,-0.074,1074.895671,0.0,0.0,3.382,0.0,0.0,1,1,0.0,3.4741085,48.95021239,-1.9e-06,1.9e-06,2181.396627,8108946858.0,0.054240447,0.3,2.3,12753.34816,0.503,1,86.12,-0.27,0.28,0.0,,,0,,,,7503.120049,0.00019,-0.00019,0,7504.857103,0.0,1.309,0.014,-0.014,1,2017,Ariel,372.7831557934422,28.778799305217515,17.314433004724773,29.499375137314818
12,14,WASP-76 b,WASP-76 b,1.0,1.061796208,2.069376856,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.46,-0.07,0.07,6250.0,-100.0,100.0,1.73,-0.04,0.04,194.459,-5.839,6.206,4.13,-0.02,0.02,Gaia DR2 2512326349403275520,8.331,8.541,8.243,9.518,9.39507,8.19,0,0.23,-0.1,0.1,[Fe/H],5.3,-2.9,6.1,F7,26.632936,2.700389,20.51243474,0.672538844,-0.448359229,1.83,0.06,-0.04,292.4021341,9.534852198,-9.534852198,0.92,0.03,-0.03,0,1,119.3,1.809886,32.42343465,-1e-06,1e-06,2110.974286,4933060164.0,0.032997058,0.3,2.3,13517.1962,0.14,1,88.0,-1.6,1.3,0.0,,,0,,,,6107.85507,0.00034,-0.00034,0,6108.760013,0.0,1.189,0.016,-0.016,1,2016,Ariel,318.31550067966816,7.085691785774628,16.985514467435195,31.622159197500004
13,35,WASP-140 b,WASP-140 b,1.478448029,23.68215772,46.45405434,1.0,1.0,1.242925993,Eclipse,1,1,1,0,0,0,0.9,-0.04,0.04,5260.0,-100.0,100.0,0.87,-0.04,0.04,117.598,-0.594,0.601,4.51,-0.04,0.04,Gaia DR2 5094154336330994688,9.24,9.609,9.165,11.118,10.8202,9.101,0,0.12,-0.1,0.1,[Fe/H],0.5,,,K0,60.3855387,-20.4509991,16.14093225,4.707771907,-2.017616532,1.44,0.42,-0.18,775.5013121,22.24798846,-22.24798846,2.44,0.07,-0.07,0,1,403.0,2.2359835,91.80939783,-8e-07,8e-07,1272.734581,4833828218.0,0.032333299,0.3,2.3,5471.396069,0.93,1,83.3,-0.8,0.5,0.047,-0.0035,0.0035,0,,,,6912.35105,0.00015,-0.00015,0,6913.469042,0.0,2.05,0.2,-0.05,1,2016,Ariel,273.04229083175943,30.350192618261453,16.237505069111663,33.984795384282414
14,9,TOI-1518 b,TOI-1518 b,1.0,8.501980082,16.87927251,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.79,-0.26,0.26,7300.0,-100.0,100.0,1.95,-0.05,0.05,225.888,-1.666,1.69,4.1,-0.2,0.2,Gaia DR2 2210596444367488384,8.384,8.429,8.325,8.952,8.89529,8.270001,0,-0.1,-0.12,0.12,[Fe/H],,,,F0,352.2675207,67.0348062,21.01683887,0.594075979,-0.594075979,1.875,0.053,-0.053,731.0053352,0.0,0.0,2.3,0.0,0.0,1,0,0.0,1.902603,24.45326838,-1.1e-05,1.1e-05,2488.500269,5458597956.0,0.036512361,0.3,2.3,8159.357671,0.9036,1,77.84,-0.26,0.23,0.0,,,1,,,,8787.049255,9.4e-05,-9.4e-05,0,8788.000556,0.0,0.911,0.000414,-0.000414,1,2021,Ariel,268.0552138121467,16.87414984631513,15.497101903447096,36.07627240444445
15,69,WASP-80 b,WASP-80 b,1.0,2.114062339,4.203009447,1.0,1.6885573,3.271208712,Eclipse,1,2,3,0,0,0,0.58,-0.05,0.05,4143.0,-94.0,92.0,0.59,-0.02,0.02,49.7876,-0.11605,0.11605,4.66,-0.02,0.02,Gaia DR2 4223507222112425344,8.513,9.218,8.351,11.841,11.273,8.296,0,-0.13,-0.17,0.15,[Fe/H],7.0,-7.0,7.0,K7-M0 V,303.1667996,-2.1444369,11.19777175,0.336269422,-0.347478403,0.999,0.03,-0.031,171.6273396,11.44182264,-11.12399423,0.54,0.036,-0.035,0,1,110.0,3.06785234,195.8227816,-7.9e-07,8.3e-07,799.3688362,5155414785.0,0.03448438,0.3,2.3,7760.79195,0.215,1,89.02,-0.1,0.11,0.002,-0.002,0.01,0,94.0,-21.0,120.0,6487.425006,2.3e-05,-2.5e-05,0,6488.958932,7791.821406,2.937,0.013,-0.013,1,2012,Ariel,207.63303550063475,13.955949616702869,15.4957901032243,39.32377270625001
16,10,WASP-121 b,WASP-121 b,1.0,2.809530879,5.50232336,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.36,-0.08,0.07,6776.0,-128.73,138.39,1.46,-0.03,0.03,269.898,-1.562,1.58,4.24,-0.01,0.01,Gaia DR2 5565050255701441664,9.439,9.625,9.374,10.514,10.3746,9.356,0,0.13,-0.09,0.09,[Fe/H],1.5,-1.0,1.0,F6 V,107.6002312,-39.0972705,19.64934322,0.403523306,-0.403523306,1.753,0.036,-0.036,367.7274664,22.24798846,-22.24798846,1.157,0.07,-0.07,0,1,177.0,1.27492504,25.72819342,-1.4e-07,1.5e-07,2391.043885,3814175890.0,0.025512882,0.3,2.3,10604.8743,0.1,1,88.49,-0.16,0.16,0.0,,,0,10.0,-10.0,10.0,8119.72074,0.00017,-0.00017,0,8120.358203,0.0,1.551,0.012,-0.012,1,2016,Ariel,265.4744800042335,9.711048794427414,15.452984030909567,40.8441809476389
17,32,TOI-2109 b,TOI-2109 b,19.94064341,317.5842288,622.5755266,1.0,1.0,1.160503357,Eclipse,1,1,1,0,0,0,1.45,-0.07,0.07,6540.0,-160.0,160.0,1.7,-0.06,0.06,262.041,-2.698,2.753,4.14,-0.05,0.04,Gaia DR2 4558177980120149632,9.129,9.382,9.07,10.217,10.1138,9.059,0,0.068,-0.062,0.07,[Fe/H],1.77,-0.68,0.88,F,253.1862971,16.5799153,15.09849704,0.526822094,-0.526822094,1.347,0.047,-0.047,1595.498601,238.3713049,-238.3713049,5.02,0.75,-0.75,0,1,860.0,0.67247414,85.15756773,-2.8e-07,3e-08,3049.33241,2543730161.0,0.017014917,0.3,2.3,6869.119178,0.7481,1,70.74,-0.37,0.37,0.0,,,0,,,,9378.45937,5.9e-05,-5.9e-05,0,9378.795607,0.0,0.6651,0.0036,-0.0036,2,2021,Ariel,192.7806032251269,71.36169143022836,15.07377227839028,41.67566247601852
18,51,WASP-69 b,WASP-69 b,1.0,1.0,1.0,1.0,1.0,1.956398575,Transit,1,1,1,0,0,0,0.98,-0.14,0.14,4700.0,-50.0,50.0,0.86,-0.03,0.03,49.9605,-0.1313,0.132,4.5,-0.15,0.15,Gaia DR2 6910753016653587840,7.543,8.032,7.459,9.873,9.48466,7.315,0,0.15,,,[Fe/H],7.0,-7.0,7.0,K5,315.0259661,-5.094857,12.44196861,0.448359229,-0.448359229,1.11,0.04,-0.04,82.63538571,5.879825522,-5.879825522,0.26,0.0185,-0.0185,0,1,38.1,3.86814,141.0397963,-2e-06,2e-06,928.6051758,7166516875.0,0.047936568,0.3,2.3,8008.496814,0.686,1,86.71,-0.2,0.2,0.0,,,0,90.0,,,7176.17789,0.00017,-0.00017,0,7178.11196,0.0,1.8,0.042,-0.042,1,2014,Ariel,220.99540867533122,5.442820350514118,15.070501166924183,45.72918434671297
19,21,KELT-7 b,KELT-7 b,1.0,3.302742034,6.449688055,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.76,-0.25,0.25,6768.0,-7.0,7.0,1.81,-0.07,0.07,136.681,-0.924,0.938,4.5,,,Gaia DR2 181908842994567936,7.58,7.739,7.543,8.56,8.45173,7.496,0,0.0,,,[Fe/H],1.3,-0.2,0.2,F,78.2955912,33.3179532,17.93436917,0.672538844,-0.672538844,1.6,0.06,-0.06,441.7814852,69.92224945,-69.92224945,1.39,0.22,-0.22,0,1,138.0,2.73477,53.16610589,-4e-06,4e-06,1975.133011,6913257612.0,0.046242526,0.3,2.3,12560.84499,0.597,1,83.76,-0.38,0.38,0.0,,,0,,,,8343.40408,0.0001,-0.0001,0,8344.771465,0.0,0.83,0.012,-0.012,1,2015,Ariel,253.52043247227445,14.004623716762529,14.004237102376598,48.75471464740741
20,53,WASP-19 b,WASP-19 b,1.006634681,16.83999562,33.06675657,1.0,1.0,1.983199694,Eclipse,1,1,2,0,0,0,0.97,-0.1,0.09,5616.0,-65.0,66.0,1.01,-0.03,0.03,268.325,-1.698,1.72,4.42,-0.02,0.02,Gaia DR2 5411736896952029568,10.602,10.911,10.481,12.248,12.1088,10.436,0,0.04,-0.3,0.25,[Fe/H],6.4,-3.5,4.1,G8 V,148.4167672,-45.6591078,15.86070773,0.493195152,-0.538031075,1.415,0.044,-0.048,366.7739812,24.79061571,-25.42627253,1.154,0.078,-0.08,0,1,255.4,0.78883852,144.2939349,-8.2e-07,7.5e-07,2046.376552,2474461101.0,0.016551579,0.3,2.3,5791.123312,0.6671,1,79.08,-0.37,0.34,0.0126,-0.0089,0.014,0,51.0,-190.0,89.0,6402.7128,0.0017,-0.0014,0,6403.107219,5905.658659,2.077,0.014,-0.014,1,2009,Ariel,215.65483425302887,14.865842889716317,13.67241499446247,49.67760694777778
