,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,cumulative days
11,91,WASP-4 b,WASP-4 b,1.735577501,28.9932342,56.90749115,1.0,2.285711367,4.485024412,Eclipse,1,2,4,0,0,0,0.86,-0.09,0.08,5400.0,-90.0,90.0,0.89,-0.03,0.03,267.206,-3.67,3.771,4.47,-0.11,0.11,Gaia DR2 6535499658122055552,10.842,11.179,10.746,12.483,12.3162,10.684,0,-0.07,-0.19,0.19,[Fe/H],7.0,,,G8,353.5629149,-42.0617794,14.80706355,0.437150249,-0.437150249,1.321,0.039,-0.039,376.9444902,28.60455659,-31.14718385,1.186,0.09,-0.098,0,1,241.1,1.33823147,257.1913745,-2e-08,2e-08,1580.099245,3381309743.0,0.022617456,0.3,2.3,7767.636451,0.136,1,89.06,-0.84,0.65,0.0,,,0,288.0,-21.0,140.0,5804.515752,1.9e-05,-1.9e-05,0,5805.184868,0.0,2.3,0.0058,-0.0058,1,2007,Ariel,149.7397710188041,17.529747613353354,0.0007276248193624327,11.06857607
12,10,WASP-121 b,WASP-121 b,1.0,2.809530879,5.50232336,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.36,-0.08,0.07,6776.0,-128.73,138.39,1.46,-0.03,0.03,269.898,-1.562,1.58,4.24,-0.01,0.01,Gaia DR2 5565050255701441664,9.439,9.625,9.374,10.514,10.3746,9.356,0,0.13,-0.09,0.09,[Fe/H],1.5,-1.0,1.0,F6 V,107.6002312,-39.0972705,19.64934322,0.403523306,-0.403523306,1.753,0.036,-0.036,367.7274664,22.24798846,-22.24798846,1.157,0.07,-0.07,0,1,177.0,1.27492504,25.72819342,-1.4e-07,1.5e-07,2391.043885,3814175890.0,0.025512882,0.3,2.3,10604.8743,0.1,1,88.49,-0.16,0.16,0.0,,,0,10.0,-10.0,10.0,8119.72074,0.00017,-0.00017,0,8120.358203,0.0,1.551,0.012,-0.012,1,2016,Ariel,265.4744800042335,9.711048794427414,0.0007203843264507337,12.34350111
13,260,HATS-23 b,HATS-23 b,5.635811884,98.05424562,192.3865457,1.993559647,15.08798539,29.42823721,Eclipse,2,15,29,1,0,1,1.12,-0.05,0.05,5780.0,-120.0,120.0,1.2,-0.08,0.06,639.004,-9.334,9.609,4.33,-0.04,0.04,Gaia DR2 6657994706683397504,12.293,12.636,12.262,13.84,13.752,12.216,0,0.28,-0.07,0.07,[Fe/H],4.2,-1.5,1.5,G V,286.36675,-50.0673496,20.84870416,3.362694219,-4.483592292,1.86,0.3,-0.4,467.2077577,22.88364527,-22.88364527,1.47,0.072,-0.072,0,1,212.3,2.1605156,929.6807617,-4.5e-06,4.5e-06,1601.961518,5081698857.0,0.033991297,0.3,2.3,6508.465218,0.949,1,81.02,-0.62,0.93,0.0,,,1,,,,7072.85266,0.0007,-0.0007,0,7073.932918,0.0,,,,1,2017,Ariel,76.68358141587812,10.959432240039549,0.0007101159665222574,14.50401671
14,0,HAT-P-32 b,HAT-P-32 b,1.0,1.0,1.657981718,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.13,-0.05,0.05,6001.0,-88.0,88.0,1.37,-0.03,0.03,289.205,-5.167,5.355,4.22,-0.04,0.04,Gaia DR2 356348286886230272,10.024,10.251,9.99,11.439,11.1335,9.902,0,-0.16,-0.08,0.08,[Fe/H],2.7,-0.8,0.8,,31.0427614,46.6878512,22.19378185,0.504404133,-0.504404133,1.98,0.045,-0.045,216.1233165,34.96112473,-31.78284066,0.68,0.11,-0.1,0,1,99.0,2.1500082,2.1500082,-1.3e-07,1.3e-07,1777.378359,5080239714.0,0.033981537,0.3,2.3,12802.4963,0.083,1,88.98,-0.85,0.68,0.159,-0.028,0.051,0,50.0,-18.0,27.0,5867.402743,4.9e-05,-4.9e-05,0,5868.477747,16353.75933,2.216,0.017,-0.016,1,2011,Ariel,214.62472669012644,4.473785336494847,0.0007075643737176174,16.65402491
15,50,CoRoT-2 b,CoRoT-2 b,4.30698981,70.92568542,139.2272692,1.0,1.0,1.939375414,Eclipse,1,1,2,0,0,0,0.96,-0.08,0.08,5625.0,-120.0,120.0,0.91,-0.03,0.03,213.283,-2.43,2.485,4.53,-0.02,0.02,Gaia DR2 4287820848378092672,10.438,10.783,10.31,12.516,12.2489,10.064,0,0.04,-0.05,0.05,[Fe/H],2.7,-2.7,3.2,,291.7770457,1.3836634,16.43236575,0.470777191,-0.493195152,1.466,0.042,-0.044,1052.012026,50.85254506,-50.85254506,3.31,0.16,-0.16,0,1,0.0,1.7429935,137.1716563,-1e-06,1e-06,1496.310943,4183298959.0,0.027981933,0.3,2.3,8340.735748,0.221,1,88.08,-0.16,0.18,0.0143,-0.0076,0.0077,0,102.0,-5.0,17.0,4237.53556,0.0002,-0.00021,0,4238.407057,8577.378045,2.75,0.012,-0.012,1,2008,Ariel,187.54713707868817,39.724337470338185,0.0007069847763745882,18.39701841
16,311,CoRoT-1 b,CoRoT-1 b,13.41567628,240.0997874,470.9052022,3.828951244,30.94791875,60.5002397,Eclipse,4,31,61,1,0,1,0.95,-0.15,0.15,5950.0,-150.0,150.0,1.11,-0.05,0.05,787.909,-23.491,23.491,4.25,-0.3,0.3,Gaia DR2 3105507886130792448,12.218,12.462,12.149,13.623,13.457,12.098,0,-0.3,-0.25,0.25,[M/H],1.6,-0.5,0.5,G0 V,102.0798591,-3.1021394,16.70138129,0.896718458,-0.896718458,1.49,0.08,-0.08,390.9289401,31.78284066,-31.78284066,1.23,0.1,-0.1,0,1,190.0,1.5089557,1130.07704,-6.4e-06,6.4e-06,1837.334012,3786664617.0,0.02532886,0.3,2.3,9236.164852,0.35,1,85.1,-0.5,0.5,0.0,,,0,,,,4159.4532,0.0001,-0.0001,0,4160.207678,0.0,1.92654,0.058737,-0.057855,1,2008,Ariel,72.86588314240777,14.289899819582256,0.0006669214379618339,19.905974110000002
17,32,TOI-2109 b,TOI-2109 b,19.94064341,317.5842288,622.5755266,1.0,1.0,1.160503357,Eclipse,1,1,1,0,0,0,1.45,-0.07,0.07,6540.0,-160.0,160.0,1.7,-0.06,0.06,262.041,-2.698,2.753,4.14,-0.05,0.04,Gaia DR2 4558177980120149632,9.129,9.382,9.07,10.217,10.1138,9.059,0,0.068,-0.062,0.07,[Fe/H],1.77,-0.68,0.88,F,253.1862971,16.5799153,15.09849704,0.526822094,-0.526822094,1.347,0.047,-0.047,1595.498601,238.3713049,-238.3713049,5.02,0.75,-0.75,0,1,860.0,0.67247414,85.15756773,-2.8e-07,3e-08,3049.33241,2543730161.0,0.017014917,0.3,2.3,6869.119178,0.7481,1,70.74,-0.37,0.37,0.0,,,0,,,,9378.45937,5.9e-05,-5.9e-05,0,9378.795607,0.0,0.6651,0.0036,-0.0036,2,2021,Ariel,192.7806032251269,71.36169143022836,0.0006495040839873137,20.57844825
18,101,KELT-16 b,KELT-16 b,13.22484106,221.8210158,435.4927434,1.0,2.576654673,5.12362734,Eclipse,1,3,5,0,0,0,1.21,-0.05,0.04,6236.0,-54.0,54.0,1.36,-0.05,0.06,444.586,-5.441,5.574,4.25,-0.04,0.03,Gaia DR2 1864885215233116032,10.692,10.928,10.642,11.717,11.7959,10.594,0,-0.002,-0.085,0.086,[Fe/H],3.1,-0.3,0.3,F7 V,314.2685227,31.6610186,15.86070773,0.941554381,-0.751001709,1.415,0.084,-0.067,874.0281181,50.85254506,-47.67426099,2.75,0.16,-0.15,0,1,494.0,0.9689951,294.0565347,-2.4e-06,2.4e-06,2372.975362,3055208291.0,0.020436176,0.3,2.3,8906.925739,0.32,1,84.4,-2.3,3.0,0.0,,,0,,,,7247.24791,0.00019,-0.00019,0,7247.732408,0.0,1.146,0.029,-0.025,1,2017,Ariel,121.06291046589159,35.425535482426234,0.0006491705202627682,21.54744335
19,84,WASP-52 b,WASP-52 b,1.0,3.383625399,6.642235087,1.0,2.078443667,4.046550963,Eclipse,1,2,4,0,0,0,0.87,-0.03,0.03,5000.0,-100.0,100.0,0.79,-0.02,0.02,174.818,-1.323,1.343,4.58,-0.01,0.01,Gaia DR2 2666015878575546496,10.186,10.588,10.086,12.192,11.9537,10.011,0,0.03,-0.12,0.12,[Fe/H],0.4,-0.2,0.3,K2 V,348.4947931,8.7610793,14.23540553,0.336269422,-0.336269422,1.27,0.03,-0.03,146.201067,6.356568132,-6.356568132,0.46,0.02,-0.02,0,1,0.0,1.7497798,237.6416728,-1.2e-06,1.2e-06,1258.128399,4058759608.0,0.027148894,0.3,2.3,6525.944438,0.6,1,85.35,-0.2,0.2,0.0,,,0,,,,5793.68143,9e-05,-9e-05,0,5794.55632,0.0,2.71,0.04,-0.04,1,2012,Ariel,175.32740191932942,7.356089410806824,0.0006322613759313124,23.29722315
20,35,WASP-140 b,WASP-140 b,1.478448029,23.68215772,46.45405434,1.0,1.0,1.242925993,Eclipse,1,1,1,0,0,0,0.9,-0.04,0.04,5260.0,-100.0,100.0,0.87,-0.04,0.04,117.598,-0.594,0.601,4.51,-0.04,0.04,Gaia DR2 5094154336330994688,9.24,9.609,9.165,11.118,10.8202,9.101,0,0.12,-0.1,0.1,[Fe/H],0.5,,,K0,60.3855387,-20.4509991,16.14093225,4.707771907,-2.017616532,1.44,0.42,-0.18,775.5013121,22.24798846,-22.24798846,2.44,0.07,-0.07,0,1,403.0,2.2359835,91.80939783,-8e-07,8e-07,1272.734581,4833828218.0,0.032333299,0.3,2.3,5471.396069,0.93,1,83.3,-0.8,0.5,0.047,-0.0035,0.0035,0,,,,6912.35105,0.00015,-0.00015,0,6913.469042,0.0,2.05,0.2,-0.05,1,2016,Ariel,273.04229083175943,30.350192618261453,0.000622614274427211,25.53320665
