maintained by Benneke team for the TESS ACWG,,,,,,,,,,,
Date:,12-July-2020," from GTO Observing Specifications on Jdox (effective Sep 2020, added by Tom Greene)",,,,,,,,,
Date:,6-April-2021,JWST GO cycle 1 accepted programs (added by Roy and Benneke),,,,,,,,,
,,,,,,,,,,,
 1 Equilibrium temperature of planet assuming 0 albedo and 4pi str redistribution,,,,,,,,,,,
" 2 Observations should be TRANSIT for transmission spectrometry or photometry, ECLIPSE for secondary eclipse, or PHASE for phase curve",,,,,,,,,,,
,,,,,,,,,,,
Planet,Mpl (Mearth),Rpl (Rearth),Teq (K),Observation,Instrument,Mode,Comment,Program,PI / Team,GTO / GO / ERS / DDT,Data to be obtained
GJ 1214 b,6.5,2.6,600,TRANSIT,NIRCam,Grism + F322W2,,1185,NIRCam+TG,GTO,
GJ 1214 b,6.5,2.6,600,TRANSIT,NIRCam,Grism + F444W,,1185,NIRCam+TG,GTO,
GJ 1214 b,6.5,2.6,600,PHASE,MIRI,LRS,1 phase curve with two eclipses,1803,Bean,GO,"Jul 20, 2022"
Kepler-51 d,5.7,9.4,381,TRANSIT,NIRSpec,PRISM,1 transit,2571,Libby-Roberts,GO,
TOI-836 c,5.7,1.72,-,TRANSIT,NIRSpec,G395H/F290LP,2 transits,2512,Batalha,GO,
K2-141 b,5.08,1.51,2150,PHASE,NIRSpec,PRISM,1 phase (2 eclipses + transit),2159,Espinoza,GO,"Jun 8, 2023"
K2-141 b,5.08,1.51,2150,PHASE,MIRI,LRS,3 phase curves,2347,Dang,GO,"Jun 8, 2023"
TOI-776 c,4,1.85,514,TRANSIT,NIRSpec,G395H/F290LP,2 transits,2512,Batalha,GO,
TOI-178 g,3.94,2.87,470,TRANSIT,NIRSpec,G395M+F290LP,1 transit,2319,Hooton,GO,
GJ 357 b,3.6,1.2,525,TRANSIT,NIRISS,SOSS,,1201,NIRISS,GTO,
GJ 357 b,3.6,1.2,525,TRANSIT,NIRSPEC,G395H,2 transits,1981,Stevenson,GO,
GJ 357 b,3.6,1.2,525,TRANSIT,NIRSpec,G395H/F290LP,1 transits,2512,Batalha,GO,
L 98-59 d,3.4,1.6,400,TRANSIT,NIRISS,SOSS,,1201,NIRISS,GTO,
L 98-59 d,3.4,1.6,400,TRANSIT,NIRSpec,G395H,,1224,NIRSpec,GTO,
TOI-178 d,3.01,2.57,690,TRANSIT,NIRSpec,G395M+F290LP,1 transit,2319,Hooton,GO,
GL 486 b,2.8,1.3,700,TRANSIT,NIRSPEC,G395H,2 transits,1981,Stevenson,GO,
GL 486 b,2.8,1.3,701,ECLIPSE,MIRI,LRS,2 eclipses,1743,Mansfield,GO,
L 98-59 c,2.4,1.4,500,TRANSIT,NIRISS,SOSS,,1201,NIRISS,GTO,
L 98-59 c,2.4,1.4,500,TRANSIT,NIRSPEC,G395H,3 transits,1981,Stevenson,GO,
TOI-175 b,2.37,1.32,517,TRANSIT,NIRSpec,G395H/F290LP,2 transits,2512,Batalha,GO,
LHS 3844 b,2.3,1.3,805,ECLIPSE,MIRI,LRS,3 eclipses,1846,Kreidberg,GO,
Kepler-51 b,2.1,7.1,543,TRANSIT,NIRSpec,PRISM,,2454,Gao,GO,
LHS 1140 c,1.8,1.3,438,TRANSIT,NIRSPEC,G395H,5 transits,1981,Stevenson,GO,
